date,site,region,pm25_ugm3
2017-03-30,Takapuna,Auckland,4.9
2017-03-30,Waimate Kennedy,Canterbury,9.3
2017-03-30,Wainuiomata (Moohan Street),Wellington,1.657
2017-03-30,Wellington Central (Willis Street),Wellington,3.708
2017-03-30,Whangārei Air Shed at Robert Street,Northland,4.45
2017-03-30,Woolston,Canterbury,9.633
2017-03-31,Anzac Square,Canterbury,10.767
2017-03-31,Awatoto AQ,Hawke's Bay,4.1
2017-03-31,Billah Street,Waikato,2.63667
2017-03-31,Blenheim Bowling Club,Marlborough,7.8
2017-03-31,Central School,Taranaki,2.04
2017-03-31,Geraldine,Canterbury,6.633
2017-03-31,Hampstead,Canterbury,8.063
2017-03-31,Kaiapoi,Canterbury,4.317
2017-03-31,Masterton West (Pownall Street),Wellington,4.666
2017-03-31,Penrose,Auckland,4.0
2017-03-31,Rangiora,Canterbury,4.842
2017-03-31,Rotorua at Edmund Rd,Bay of Plenty,3.105
2017-03-31,St Johns,Hawke's Bay,5.4
2017-03-31,Takapuna,Auckland,3.9
2017-03-31,Waimate Kennedy,Canterbury,9.133
2017-03-31,Wainuiomata (Moohan Street),Wellington,1.948
2017-03-31,Wellington Central (Willis Street),Wellington,3.2
2017-03-31,Whangārei Air Shed at Robert Street,Northland,5.79
2017-03-31,Woolston,Canterbury,4.657
2017-04-01,Anzac Square,Canterbury,7.421
2017-04-01,Awatoto AQ,Hawke's Bay,4.0
2017-04-01,Billah Street,Waikato,4.29007
2017-04-01,Blenheim Bowling Club,Marlborough,4.74
2017-04-01,Central School,Taranaki,1.92
2017-04-01,Geraldine,Canterbury,7.567
2017-04-01,Hampstead,Canterbury,5.054
2017-04-01,Kaiapoi,Canterbury,7.908
2017-04-01,Masterton West (Pownall Street),Wellington,6.114
2017-04-01,Nelson at St Vincent St,Nelson,4.9
2017-04-01,Patumahoe,Auckland,5.4
2017-04-01,Penrose,Auckland,6.0
2017-04-01,Rangiora,Canterbury,6.967
2017-04-01,Rotorua at Edmund Rd,Bay of Plenty,4.159
2017-04-01,Takapuna,Auckland,4.9
2017-04-01,Waimate Kennedy,Canterbury,10.258
2017-04-01,Wainuiomata (Moohan Street),Wellington,0.992
2017-04-01,Wellington Central (Willis Street),Wellington,1.742
2017-04-01,Whangārei Air Shed at Robert Street,Northland,5.14
2017-04-01,Woolston,Canterbury,7.788
2017-04-02,Anzac Square,Canterbury,9.729
2017-04-02,Awatoto AQ,Hawke's Bay,5.8
2017-04-02,Billah Street,Waikato,7.04132
2017-04-02,Blenheim Bowling Club,Marlborough,4.15
2017-04-02,Central School,Taranaki,2.83
2017-04-02,Geraldine,Canterbury,4.125
2017-04-02,Hampstead,Canterbury,6.154
2017-04-02,Kaiapoi,Canterbury,6.996
2017-04-02,Masterton West (Pownall Street),Wellington,5.5
2017-04-02,Patumahoe,Auckland,5.1
2017-04-02,Penrose,Auckland,3.7
2017-04-02,Rangiora,Canterbury,6.0
2017-04-02,Rotorua at Edmund Rd,Bay of Plenty,6.304
2017-04-02,St Johns,Hawke's Bay,7.3
2017-04-02,Takapuna,Auckland,1.9
2017-04-02,Waimate Kennedy,Canterbury,7.817
2017-04-02,Wainuiomata (Moohan Street),Wellington,2.86
2017-04-02,Wellington Central (Willis Street),Wellington,3.592
2017-04-02,Whangārei Air Shed at Robert Street,Northland,2.47
2017-04-02,Woolston,Canterbury,2.875
2017-04-03,Anzac Square,Canterbury,8.033
2017-04-03,Awatoto AQ,Hawke's Bay,5.2
2017-04-03,Billah Street,Waikato,5.37847
2017-04-03,Blenheim Bowling Club,Marlborough,4.77
2017-04-03,Central School,Taranaki,1.29
2017-04-03,Geraldine,Canterbury,5.217
2017-04-03,Hampstead,Canterbury,6.242
2017-04-03,Kaiapoi,Canterbury,7.788
2017-04-03,Masterton West (Pownall Street),Wellington,3.599
2017-04-03,Patumahoe,Auckland,4.8
2017-04-03,Penrose,Auckland,4.6
2017-04-03,Rangiora,Canterbury,5.163
2017-04-03,Rotorua at Edmund Rd,Bay of Plenty,4.779
2017-04-03,St Johns,Hawke's Bay,2.0
2017-04-03,Takapuna,Auckland,3.3
2017-04-03,Waimate Kennedy,Canterbury,5.988
2017-04-03,Wainuiomata (Moohan Street),Wellington,2.158
2017-04-03,Wellington Central (Willis Street),Wellington,4.525
2017-04-03,Whangārei Air Shed at Robert Street,Northland,3.38
2017-04-03,Woolston,Canterbury,4.458
2017-04-04,Anzac Square,Canterbury,6.158
2017-04-04,Awatoto AQ,Hawke's Bay,4.7
2017-04-04,Billah Street,Waikato,0.10792
2017-04-04,Blenheim Bowling Club,Marlborough,7.45
2017-04-04,Central School,Taranaki,-0.33
2017-04-04,Geraldine,Canterbury,5.229
2017-04-04,Hampstead,Canterbury,9.0
2017-04-04,Kaiapoi,Canterbury,7.992
2017-04-04,Masterton West (Pownall Street),Wellington,7.057
2017-04-04,Patumahoe,Auckland,0.7
2017-04-04,Penrose,Auckland,2.5
2017-04-04,Plunket AQ,Tasman,5.0
2017-04-04,Rangiora,Canterbury,4.146
2017-04-04,Rotorua at Edmund Rd,Bay of Plenty,0.993
2017-04-04,St Johns,Hawke's Bay,2.2
2017-04-04,Takapuna,Auckland,1.8
2017-04-04,Waimate Kennedy,Canterbury,4.132
2017-04-04,Wainuiomata (Moohan Street),Wellington,1.192
2017-04-04,Wellington Central (Willis Street),Wellington,3.296
2017-04-04,Whangārei Air Shed at Robert Street,Northland,1.73
2017-04-04,Woolston,Canterbury,3.733
2017-04-05,Anzac Square,Canterbury,8.012
2017-04-05,Awatoto AQ,Hawke's Bay,3.2
2017-04-05,Billah Street,Waikato,2.62215
2017-04-05,Blenheim Bowling Club,Marlborough,3.45
2017-04-05,Central School,Taranaki,1.79
2017-04-05,Geraldine,Canterbury,9.183
2017-04-05,Hampstead,Canterbury,9.988
2017-04-05,Kaiapoi,Canterbury,6.4
2017-04-05,Masterton West (Pownall Street),Wellington,5.094
2017-04-05,Patumahoe,Auckland,4.8
2017-04-05,Penrose,Auckland,4.6
2017-04-05,Rangiora,Canterbury,7.529
2017-04-05,Rotorua at Edmund Rd,Bay of Plenty,2.234
2017-04-05,St Johns,Hawke's Bay,3.3
2017-04-05,Takapuna,Auckland,3.4
2017-04-05,Waimate Kennedy,Canterbury,7.463
2017-04-05,Wainuiomata (Moohan Street),Wellington,3.249
2017-04-05,Wellington Central (Willis Street),Wellington,2.829
2017-04-05,Whangārei Air Shed at Robert Street,Northland,2.18
2017-04-05,Woolston,Canterbury,4.688
2017-04-06,Anzac Square,Canterbury,3.529
2017-04-06,Awatoto AQ,Hawke's Bay,3.8
2017-04-06,Billah Street,Waikato,6.35535
2017-04-06,Blenheim Bowling Club,Marlborough,13.87
2017-04-06,Central School,Taranaki,4.08
2017-04-06,Geraldine,Canterbury,4.608
2017-04-06,Hampstead,Canterbury,2.832
2017-04-06,Kaiapoi,Canterbury,6.904
2017-04-06,Masterton West (Pownall Street),Wellington,1.888
2017-04-06,Patumahoe,Auckland,5.7
2017-04-06,Penrose,Auckland,4.6
2017-04-06,Rangiora,Canterbury,3.413
2017-04-06,Rotorua at Edmund Rd,Bay of Plenty,2.646
2017-04-06,St Albans,Canterbury,2.938
2017-04-06,St Johns,Hawke's Bay,3.3
2017-04-06,Waimate Kennedy,Canterbury,2.381
2017-04-06,Wainuiomata (Moohan Street),Wellington,0.829
2017-04-06,Wellington Central (Willis Street),Wellington,3.538
2017-04-06,Whangārei Air Shed at Robert Street,Northland,4.74
2017-04-06,Woolston,Canterbury,2.274
2017-04-07,Anzac Square,Canterbury,6.833
2017-04-07,Awatoto AQ,Hawke's Bay,3.7
2017-04-07,Billah Street,Waikato,4.04743
2017-04-07,Blenheim Bowling Club,Marlborough,14.81
2017-04-07,Central School,Taranaki,2.12
2017-04-07,Geraldine,Canterbury,7.075
2017-04-07,Hampstead,Canterbury,6.4
2017-04-07,Kaiapoi,Canterbury,7.67
2017-04-07,Masterton West (Pownall Street),Wellington,10.782
2017-04-07,Nelson at St Vincent St,Nelson,11.0
2017-04-07,Patumahoe,Auckland,3.6
2017-04-07,Penrose,Auckland,6.0
2017-04-07,Rangiora,Canterbury,6.433
2017-04-07,Rotorua at Edmund Rd,Bay of Plenty,2.096
2017-04-07,St Albans,Canterbury,5.763
2017-04-07,St Johns,Hawke's Bay,4.9
2017-04-07,Waimate Kennedy,Canterbury,6.775
2017-04-07,Wellington Central (Willis Street),Wellington,5.692
2017-04-07,Whangārei Air Shed at Robert Street,Northland,5.06
2017-04-07,Woolston,Canterbury,4.304
2017-04-08,Anzac Square,Canterbury,14.254
2017-04-08,Awatoto AQ,Hawke's Bay,5.3
2017-04-08,Billah Street,Waikato,6.90083
2017-04-08,Blenheim Bowling Club,Marlborough,15.85
2017-04-08,Central School,Taranaki,2.87
2017-04-08,Geraldine,Canterbury,10.096
2017-04-08,Hampstead,Canterbury,13.408
2017-04-08,Kaiapoi,Canterbury,10.975
2017-04-08,Masterton West (Pownall Street),Wellington,18.5
2017-04-08,Patumahoe,Auckland,4.5
2017-04-08,Penrose,Auckland,5.7
2017-04-08,Rangiora,Canterbury,10.658
2017-04-08,Rotorua at Edmund Rd,Bay of Plenty,5.694
2017-04-08,St Albans,Canterbury,10.582
2017-04-08,St Johns,Hawke's Bay,7.1
2017-04-08,Waimate Kennedy,Canterbury,12.242
2017-04-08,Wellington Central (Willis Street),Wellington,7.754
2017-04-08,Whangārei Air Shed at Robert Street,Northland,5.36
2017-04-08,Woolston,Canterbury,8.463
2017-04-09,Anzac Square,Canterbury,13.279
2017-04-09,Awatoto AQ,Hawke's Bay,4.7
2017-04-09,Billah Street,Waikato,9.43431
2017-04-09,Blenheim Bowling Club,Marlborough,16.99
2017-04-09,Central School,Taranaki,4.37
2017-04-09,Geraldine,Canterbury,9.458
2017-04-09,Hampstead,Canterbury,7.046
2017-04-09,Kaiapoi,Canterbury,9.7
2017-04-09,Masterton West (Pownall Street),Wellington,12.128
2017-04-09,Patumahoe,Auckland,5.8
2017-04-09,Penrose,Auckland,4.4
2017-04-09,Rangiora,Canterbury,7.0
2017-04-09,Rotorua at Edmund Rd,Bay of Plenty,5.494
2017-04-09,St Albans,Canterbury,7.063
2017-04-09,St Johns,Hawke's Bay,7.7
2017-04-09,Waimate Kennedy,Canterbury,9.704
2017-04-09,Wellington Central (Willis Street),Wellington,6.463
2017-04-09,Whangārei Air Shed at Robert Street,Northland,4.17
2017-04-09,Woolston,Canterbury,6.088
2017-04-10,Anzac Square,Canterbury,11.792
2017-04-10,Awatoto AQ,Hawke's Bay,3.0
2017-04-10,Billah Street,Waikato,7.23611
2017-04-10,Blenheim Bowling Club,Marlborough,12.97
2017-04-10,Central School,Taranaki,3.0
2017-04-10,Geraldine,Canterbury,12.125
2017-04-10,Hampstead,Canterbury,14.263
2017-04-10,Kaiapoi,Canterbury,9.383
2017-04-10,Masterton West (Pownall Street),Wellington,6.313
2017-04-10,Nelson at St Vincent St,Nelson,8.6
2017-04-10,Penrose,Auckland,4.1
2017-04-10,Plunket AQ,Tasman,6.3
2017-04-10,Rangiora,Canterbury,9.129
2017-04-10,Rotorua at Edmund Rd,Bay of Plenty,6.463
2017-04-10,St Albans,Canterbury,6.458
2017-04-10,St Johns,Hawke's Bay,4.4
2017-04-10,Waimate Kennedy,Canterbury,14.517
2017-04-10,Wellington Central (Willis Street),Wellington,6.258
2017-04-10,Whangārei Air Shed at Robert Street,Northland,4.11
2017-04-10,Woolston,Canterbury,4.659
2017-04-11,Anzac Square,Canterbury,13.946
2017-04-11,Awatoto AQ,Hawke's Bay,4.5
2017-04-11,Billah Street,Waikato,6.67472
2017-04-11,Blenheim Bowling Club,Marlborough,15.18
2017-04-11,Central School,Taranaki,3.17
2017-04-11,Geraldine,Canterbury,14.467
2017-04-11,Hampstead,Canterbury,19.379
2017-04-11,Kaiapoi,Canterbury,18.842
2017-04-11,Masterton West (Pownall Street),Wellington,6.801
2017-04-11,Patumahoe,Auckland,3.3
2017-04-11,Penrose,Auckland,5.7
2017-04-11,Rangiora,Canterbury,21.629
2017-04-11,Rotorua at Edmund Rd,Bay of Plenty,2.704
2017-04-11,St Albans,Canterbury,16.733
2017-04-11,St Johns,Hawke's Bay,5.9
2017-04-11,Waimate Kennedy,Canterbury,10.9
2017-04-11,Wainuiomata (Moohan Street),Wellington,5.22
2017-04-11,Wellington Central (Willis Street),Wellington,4.438
2017-04-11,Whangārei Air Shed at Robert Street,Northland,4.24
2017-04-11,Woolston,Canterbury,15.408
2017-04-12,Anzac Square,Canterbury,2.454
2017-04-12,Awatoto AQ,Hawke's Bay,6.2
2017-04-12,Billah Street,Waikato,3.55188
2017-04-12,Blenheim Bowling Club,Marlborough,11.36
2017-04-12,Central School,Taranaki,2.71
2017-04-12,Geraldine,Canterbury,5.325
2017-04-12,Hampstead,Canterbury,4.021
2017-04-12,Kaiapoi,Canterbury,10.635
2017-04-12,Masterton West (Pownall Street),Wellington,9.338
2017-04-12,Patumahoe,Auckland,2.9
2017-04-12,Penrose,Auckland,3.6
2017-04-12,Rangiora,Canterbury,8.55
2017-04-12,Rotorua at Edmund Rd,Bay of Plenty,1.679
2017-04-12,St Albans,Canterbury,6.264
2017-04-12,St Johns,Hawke's Bay,4.7
2017-04-12,Waimate Kennedy,Canterbury,4.083
2017-04-12,Wainuiomata (Moohan Street),Wellington,3.163
2017-04-12,Wellington Central (Willis Street),Wellington,5.829
2017-04-12,Whangārei Air Shed at Robert Street,Northland,2.72
2017-04-12,Woolston,Canterbury,3.677
2017-04-13,Anzac Square,Canterbury,3.529
2017-04-13,Awatoto AQ,Hawke's Bay,4.9
2017-04-13,Billah Street,Waikato,0.77306
2017-04-13,Blenheim Bowling Club,Marlborough,8.56
2017-04-13,Central School,Taranaki,1.25
2017-04-13,Geraldine,Canterbury,4.5
2017-04-13,Hampstead,Canterbury,4.127
2017-04-13,Kaiapoi,Canterbury,10.025
2017-04-13,Masterton West (Pownall Street),Wellington,5.818
2017-04-13,Nelson at St Vincent St,Nelson,2.7
2017-04-13,Patumahoe,Auckland,5.7
2017-04-13,Penrose,Auckland,3.9
2017-04-13,Rangiora,Canterbury,6.671
2017-04-13,Rotorua at Edmund Rd,Bay of Plenty,0.617
2017-04-13,St Albans,Canterbury,5.075
2017-04-13,St Johns,Hawke's Bay,3.6
2017-04-13,Waimate Kennedy,Canterbury,4.033
2017-04-13,Wainuiomata (Moohan Street),Wellington,1.973
2017-04-13,Wellington Central (Willis Street),Wellington,2.642
2017-04-13,Whangārei Air Shed at Robert Street,Northland,0.18
2017-04-13,Woolston,Canterbury,4.796
2017-04-14,Anzac Square,Canterbury,14.033
2017-04-14,Awatoto AQ,Hawke's Bay,9.9
2017-04-14,Billah Street,Waikato,2.55014
2017-04-14,Blenheim Bowling Club,Marlborough,6.06
2017-04-14,Central School,Taranaki,3.25
2017-04-14,Geraldine,Canterbury,8.567
2017-04-14,Hampstead,Canterbury,6.954
2017-04-14,Kaiapoi,Canterbury,4.579
2017-04-14,Masterton West (Pownall Street),Wellington,3.574
2017-04-14,Patumahoe,Auckland,2.7
2017-04-14,Penrose,Auckland,5.9
2017-04-14,Rangiora,Canterbury,4.667
2017-04-14,Rotorua at Edmund Rd,Bay of Plenty,4.055
2017-04-14,St Albans,Canterbury,4.645
2017-04-14,St Johns,Hawke's Bay,3.7
2017-04-14,Waimate Kennedy,Canterbury,10.271
2017-04-14,Wainuiomata (Moohan Street),Wellington,2.977
2017-04-14,Wellington Central (Willis Street),Wellington,3.854
2017-04-14,Whangārei Air Shed at Robert Street,Northland,3.1
2017-04-14,Woolston,Canterbury,4.404
2017-04-15,Anzac Square,Canterbury,12.567
2017-04-15,Awatoto AQ,Hawke's Bay,5.9
2017-04-15,Billah Street,Waikato,3.87722
2017-04-15,Blenheim Bowling Club,Marlborough,5.94
2017-04-15,Central School,Taranaki,3.08
2017-04-15,Geraldine,Canterbury,8.358
2017-04-15,Hampstead,Canterbury,5.454
2017-04-15,Kaiapoi,Canterbury,6.415
2017-04-15,Patumahoe,Auckland,1.6
2017-04-15,Penrose,Auckland,5.2
2017-04-15,Rangiora,Canterbury,4.263
2017-04-15,Rotorua at Edmund Rd,Bay of Plenty,5.761
2017-04-15,St Albans,Canterbury,5.113
2017-04-15,St Johns,Hawke's Bay,4.2
2017-04-15,Waimate Kennedy,Canterbury,12.919
2017-04-15,Wainuiomata (Moohan Street),Wellington,3.132
2017-04-15,Wellington Central (Willis Street),Wellington,4.267
2017-04-15,Whangārei Air Shed at Robert Street,Northland,3.92
2017-04-15,Woolston,Canterbury,4.904
2017-04-16,Anzac Square,Canterbury,7.575
2017-04-16,Awatoto AQ,Hawke's Bay,8.1
2017-04-16,Billah Street,Waikato,8.69514
2017-04-16,Blenheim Bowling Club,Marlborough,4.54
2017-04-16,Central School,Taranaki,1.92
2017-04-16,Geraldine,Canterbury,5.696
2017-04-16,Hampstead,Canterbury,11.575
2017-04-16,Kaiapoi,Canterbury,10.446
2017-04-16,Masterton West (Pownall Street),Wellington,7.387
2017-04-16,Nelson at St Vincent St,Nelson,6.0
2017-04-16,Patumahoe,Auckland,4.9
2017-04-16,Penrose,Auckland,4.0
2017-04-16,Plunket AQ,Tasman,2.2
2017-04-16,Rangiora,Canterbury,8.175
2017-04-16,Rotorua at Edmund Rd,Bay of Plenty,11.352
2017-04-16,St Albans,Canterbury,5.433
2017-04-16,St Johns,Hawke's Bay,5.9
2017-04-16,Waimate Kennedy,Canterbury,5.788
2017-04-16,Wainuiomata (Moohan Street),Wellington,3.296
2017-04-16,Wellington Central (Willis Street),Wellington,3.454
2017-04-16,Whangārei Air Shed at Robert Street,Northland,4.42
2017-04-16,Woolston,Canterbury,4.533
2017-04-17,Anzac Square,Canterbury,8.021
2017-04-17,Awatoto AQ,Hawke's Bay,7.1
2017-04-17,Billah Street,Waikato,7.70333
2017-04-17,Blenheim Bowling Club,Marlborough,9.72
2017-04-17,Central School,Taranaki,1.46
2017-04-17,Geraldine,Canterbury,8.729
2017-04-17,Hampstead,Canterbury,26.533
2017-04-17,Kaiapoi,Canterbury,15.938
2017-04-17,Masterton West (Pownall Street),Wellington,5.66
2017-04-17,Patumahoe,Auckland,2.7
2017-04-17,Penrose,Auckland,3.7
2017-04-17,Rangiora,Canterbury,12.804
2017-04-17,Rotorua at Edmund Rd,Bay of Plenty,12.219
2017-04-17,St Albans,Canterbury,11.208
2017-04-17,St Johns,Hawke's Bay,4.0
2017-04-17,Waimate Kennedy,Canterbury,7.891
2017-04-17,Wainuiomata (Moohan Street),Wellington,2.405
2017-04-17,Wellington Central (Willis Street),Wellington,1.713
2017-04-17,Whangārei Air Shed at Robert Street,Northland,3.59
2017-04-17,Woolston,Canterbury,7.658
2017-04-18,Anzac Square,Canterbury,6.633
2017-04-18,Awatoto AQ,Hawke's Bay,2.8
2017-04-18,Billah Street,Waikato,6.64021
2017-04-18,Blenheim Bowling Club,Marlborough,11.88
2017-04-18,Central School,Taranaki,0.87
2017-04-18,Geraldine,Canterbury,10.829
2017-04-18,Hampstead,Canterbury,22.854
2017-04-18,Kaiapoi,Canterbury,8.968
2017-04-18,Masterton West (Pownall Street),Wellington,5.437
2017-04-18,Patumahoe,Auckland,0.6
2017-04-18,Penrose,Auckland,4.8
2017-04-18,Rangiora,Canterbury,6.138
2017-04-18,Rotorua at Edmund Rd,Bay of Plenty,8.476
2017-04-18,St Albans,Canterbury,8.721
2017-04-18,St Johns,Hawke's Bay,2.0
2017-04-18,Waimate Kennedy,Canterbury,8.629
2017-04-18,Wainuiomata (Moohan Street),Wellington,2.633
2017-04-18,Wellington Central (Willis Street),Wellington,2.671
2017-04-18,Whangārei Air Shed at Robert Street,Northland,5.06
2017-04-18,Woolston,Canterbury,8.252
2017-04-19,Anzac Square,Canterbury,12.779
2017-04-19,Awatoto AQ,Hawke's Bay,3.4
2017-04-19,Billah Street,Waikato,6.04861
2017-04-19,Blenheim Bowling Club,Marlborough,10.53
2017-04-19,Central School,Taranaki,2.62
2017-04-19,Geraldine,Canterbury,9.183
2017-04-19,Hampstead,Canterbury,13.271
2017-04-19,Kaiapoi,Canterbury,9.009
2017-04-19,Masterton West (Pownall Street),Wellington,7.119
2017-04-19,Nelson at St Vincent St,Nelson,5.4
2017-04-19,Penrose,Auckland,6.5
2017-04-19,Rangiora,Canterbury,8.11
2017-04-19,Rotorua at Edmund Rd,Bay of Plenty,5.05
2017-04-19,St Albans,Canterbury,7.492
2017-04-19,St Johns,Hawke's Bay,7.1
2017-04-19,Wainuiomata (Moohan Street),Wellington,11.578
2017-04-19,Wellington Central (Willis Street),Wellington,4.525
2017-04-19,Whangārei Air Shed at Robert Street,Northland,5.78
2017-04-19,Woolston,Canterbury,7.389
2017-04-20,Anzac Square,Canterbury,6.958
2017-04-20,Awatoto AQ,Hawke's Bay,6.4
2017-04-20,Billah Street,Waikato,12.03576
2017-04-20,Blenheim Bowling Club,Marlborough,18.56
2017-04-20,Central School,Taranaki,2.21
2017-04-20,Geraldine,Canterbury,8.219
2017-04-20,Hampstead,Canterbury,8.579
2017-04-20,Kaiapoi,Canterbury,15.832
2017-04-20,Masterton West (Pownall Street),Wellington,14.325
2017-04-20,Patumahoe,Auckland,6.4
2017-04-20,Penrose,Auckland,5.7
2017-04-20,Rangiora,Canterbury,10.521
2017-04-20,Rotorua at Edmund Rd,Bay of Plenty,4.863
2017-04-20,St Albans,Canterbury,9.688
2017-04-20,St Johns,Hawke's Bay,5.3
2017-04-20,Waimate Kennedy,Canterbury,6.825
2017-04-20,Wainuiomata (Moohan Street),Wellington,9.181
2017-04-20,Wellington Central (Willis Street),Wellington,5.958
2017-04-20,Whangārei Air Shed at Robert Street,Northland,4.98
2017-04-20,Woolston,Canterbury,9.325
2017-04-21,Anzac Square,Canterbury,13.967
2017-04-21,Awatoto AQ,Hawke's Bay,6.8
2017-04-21,Billah Street,Waikato,12.62972
2017-04-21,Blenheim Bowling Club,Marlborough,19.41
2017-04-21,Central School,Taranaki,1.75
2017-04-21,Geraldine,Canterbury,13.967
2017-04-21,Hampstead,Canterbury,9.533
2017-04-21,Kaiapoi,Canterbury,18.688
2017-04-21,Masterton West (Pownall Street),Wellington,8.951
2017-04-21,Patumahoe,Auckland,7.6
2017-04-21,Penrose,Auckland,7.7
2017-04-21,Rangiora,Canterbury,11.363
2017-04-21,Rotorua at Edmund Rd,Bay of Plenty,8.952
2017-04-21,St Albans,Canterbury,11.638
2017-04-21,St Johns,Hawke's Bay,15.7
2017-04-21,Waimate Kennedy,Canterbury,10.483
2017-04-21,Wainuiomata (Moohan Street),Wellington,9.589
2017-04-21,Wellington Central (Willis Street),Wellington,4.317
2017-04-21,Whangārei Air Shed at Robert Street,Northland,5.08
2017-04-21,Woolston,Canterbury,9.522
2017-04-22,Anzac Square,Canterbury,17.158
2017-04-22,Awatoto AQ,Hawke's Bay,5.7
2017-04-22,Billah Street,Waikato,17.12743
2017-04-22,Blenheim Bowling Club,Marlborough,16.02
2017-04-22,Central School,Taranaki,4.92
2017-04-22,Geraldine,Canterbury,13.863
2017-04-22,Hampstead,Canterbury,8.071
2017-04-22,Kaiapoi,Canterbury,10.029
2017-04-22,Masterton West (Pownall Street),Wellington,8.494
2017-04-22,Nelson at St Vincent St,Nelson,10.0
2017-04-22,Patumahoe,Auckland,5.4
2017-04-22,Penrose,Auckland,8.6
2017-04-22,Plunket AQ,Tasman,4.6
2017-04-22,Rangiora,Canterbury,5.729
2017-04-22,Rotorua at Edmund Rd,Bay of Plenty,21.692
2017-04-22,St Albans,Canterbury,7.238
2017-04-22,St Johns,Hawke's Bay,17.4
2017-04-22,Waimate Kennedy,Canterbury,10.9
2017-04-22,Wainuiomata (Moohan Street),Wellington,6.121
2017-04-22,Wellington Central (Willis Street),Wellington,5.046
2017-04-22,Whangārei Air Shed at Robert Street,Northland,5.93
2017-04-22,Woolston,Canterbury,5.854
2017-04-23,Anzac Square,Canterbury,12.425
2017-04-23,Awatoto AQ,Hawke's Bay,6.6
2017-04-23,Billah Street,Waikato,12.52986
2017-04-23,Blenheim Bowling Club,Marlborough,15.65
2017-04-23,Central School,Taranaki,5.46
2017-04-23,Geraldine,Canterbury,13.375
2017-04-23,Hampstead,Canterbury,15.217
2017-04-23,Kaiapoi,Canterbury,23.333
2017-04-23,Masterton West (Pownall Street),Wellington,12.645
2017-04-23,Patumahoe,Auckland,3.6
2017-04-23,Penrose,Auckland,4.6
2017-04-23,Rangiora,Canterbury,17.588
2017-04-23,Rotorua at Edmund Rd,Bay of Plenty,12.856
2017-04-23,St Albans,Canterbury,12.067
2017-04-23,St Johns,Hawke's Bay,17.0
2017-04-23,Waimate Kennedy,Canterbury,11.127
2017-04-23,Wainuiomata (Moohan Street),Wellington,8.769
2017-04-23,Wellington Central (Willis Street),Wellington,3.458
2017-04-23,Whangārei Air Shed at Robert Street,Northland,4.72
2017-04-23,Woolston,Canterbury,10.117
2017-04-24,Anzac Square,Canterbury,9.217
2017-04-24,Awatoto AQ,Hawke's Bay,6.4
2017-04-24,Billah Street,Waikato,12.23076
2017-04-24,Blenheim Bowling Club,Marlborough,21.75
2017-04-24,Central School,Taranaki,3.33
2017-04-24,Geraldine,Canterbury,12.729
2017-04-24,Hampstead,Canterbury,10.958
2017-04-24,Kaiapoi,Canterbury,12.454
2017-04-24,Masterton West (Pownall Street),Wellington,15.225
2017-04-24,Patumahoe,Auckland,4.4
2017-04-24,Penrose,Auckland,5.3
2017-04-24,Rangiora,Canterbury,13.088
2017-04-24,Rotorua at Edmund Rd,Bay of Plenty,16.699
2017-04-24,St Albans,Canterbury,8.917
2017-04-24,St Johns,Hawke's Bay,6.8
2017-04-24,Waimate Kennedy,Canterbury,7.588
2017-04-24,Wainuiomata (Moohan Street),Wellington,5.706
2017-04-24,Wellington Central (Willis Street),Wellington,6.154
2017-04-24,Whangārei Air Shed at Robert Street,Northland,4.59
2017-04-24,Woolston,Canterbury,10.654
2017-04-25,Anzac Square,Canterbury,10.233
2017-04-25,Awatoto AQ,Hawke's Bay,5.7
2017-04-25,Billah Street,Waikato,10.75597
2017-04-25,Blenheim Bowling Club,Marlborough,17.01
2017-04-25,Central School,Taranaki,3.79
2017-04-25,Geraldine,Canterbury,15.963
2017-04-25,Hampstead,Canterbury,11.629
2017-04-25,Kaiapoi,Canterbury,8.467
2017-04-25,Masterton West (Pownall Street),Wellington,13.957
2017-04-25,Nelson at St Vincent St,Nelson,13.0
2017-04-25,Patumahoe,Auckland,7.3
2017-04-25,Penrose,Auckland,7.6
2017-04-25,Rangiora,Canterbury,9.463
2017-04-25,Rotorua at Edmund Rd,Bay of Plenty,7.363
2017-04-25,St Albans,Canterbury,7.421
2017-04-25,St Johns,Hawke's Bay,10.1
2017-04-25,Waimate Kennedy,Canterbury,9.392
2017-04-25,Wainuiomata (Moohan Street),Wellington,9.16
2017-04-25,Wellington Central (Willis Street),Wellington,7.009
2017-04-25,Whangārei Air Shed at Robert Street,Northland,8.05
2017-04-25,Woolston,Canterbury,5.929
2017-04-26,Anzac Square,Canterbury,23.004
2017-04-26,Awatoto AQ,Hawke's Bay,7.4
2017-04-26,Billah Street,Waikato,17.77222
2017-04-26,Blenheim Bowling Club,Marlborough,13.13
2017-04-26,Central School,Taranaki,4.46
2017-04-26,Geraldine,Canterbury,19.904
2017-04-26,Hampstead,Canterbury,11.446
2017-04-26,Kaiapoi,Canterbury,10.033
2017-04-26,Masterton West (Pownall Street),Wellington,16.806
2017-04-26,Patumahoe,Auckland,7.6
2017-04-26,Penrose,Auckland,10.4
2017-04-26,Rangiora,Canterbury,11.767
2017-04-26,Rotorua at Edmund Rd,Bay of Plenty,13.508
2017-04-26,St Albans,Canterbury,6.104
2017-04-26,St Johns,Hawke's Bay,10.5
